Data;MMM;T;ADBE;BAC;CVX;HLT;SBUX
2021-05-27;203.240005;22.439577;498.279999;42.549999;103.010002;126.269997;113.510002
2021-05-28;203.039993;22.228098;504.579987;42.389999;103.790001;125.269997;113.879997
2021-06-01;203.199997;22.145016;495.910004;42.919998;106.650002;126.610001;113.339996
2021-06-02;203.289993;22.364048;495.769989;42.939999;108.080002;125.169998;113
2021-06-03;203.669998;22.07704;493.140015;43.25;107.589996;123.129997;111.120003
2021-06-04;206.050003;22.10725;504.5;43.27;108.449997;124.75;111.989998
2021-06-07;203.729996;21.963745;509.470001;43.119999;107.75;124.900002;111.330002
2021-06-08;203.589996;21.888218;509.200012;42.880001;108.730003;127.839996;111.519997
2021-06-09;202.740005;21.910875;514.679993;42.32;107.779999;126.449997;111.389999
2021-06-10;203.130005;22.039274;535.52002;41.689999;108.410004;126.589996;112.209999
2021-06-11;202.809998;22.145016;541.26001;41.860001;107.910004;128.610001;112.559998
2021-06-14;201.360001;21.971298;556.950012;41.360001;107.970001;128.610001;112.449997
2021-06-15;200.610001;22.114803;548.460022;41.389999;110.300003;129.25;111.889999
2021-06-16;196.910004;21.948641;543.330017;41.619999;109.669998;126.93;111.360001
2021-06-17;195.139999;21.706949;551.359985;39.799999;107.07;126.239998;111.389999
2021-06-18;191.600006;21.638973;565.590027;38.779999;103.029999;123.720001;109.699997
2021-06-21;195.210007;21.850452;567.349976;39.75;106.050003;126.739998;110.970001
2021-06-22;195.139999;21.73716;575.73999;39.970001;106.400002;126.099998;111.849998
2021-06-23;192.360001;21.638973;574.22998;40.200001;106.269997;125.68;111.559998
2021-06-24;193.259995;21.744713;578.26001;40.830002;107.139999;124.510002;111.989998
2021-06-25;194.75;21.820242;579.659973;41.619999;107.300003;124.480003;113.040001
2021-06-28;196.5;21.73716;588.799988;41.560001;103.989998;120.720001;112.239998
2021-06-29;196.029999;21.646526;590.75;40.889999;103.760002;118.949997;112.269997
2021-06-30;198.630005;21.73716;585.640015;41.23;104.739998;120.620003;111.809998
2021-07-01;199.089996;21.986404;584.72998;41.540001;106.209999;123.620003;113.410004
2021-07-02;199.889999;22.07704;593.070007;41.150002;106.07;126.809998;114.970001
2021-07-06;196.889999;21.918428;596.900024;40.07;103.989998;125.830002;115.730003
2021-07-07;199.860001;21.850452;605.77002;39.75;102.93;124.449997;117.139999
2021-07-08;198.270004;21.283989;605.950012;38.779999;102.599998;123.129997;115.989998
2021-07-09;201;21.487915;604.5;40.040001;104.07;126.050003;117.470001
2021-07-12;199.979996;21.510574;600.200012;40.630001;104.279999;125.849998;118.459999
2021-07-13;199.600006;21.351965;605.01001;39.860001;103.93;123.459999;119.550003
2021-07-14;202.830002;21.344412;608.830017;38.860001;101.970001;123.870003;119.800003
2021-07-15;202.589996;21.472811;606.169983;38.830002;101.300003;122.900002;118.970001
2021-07-16;199.369995;21.404835;606.099976;37.919998;98.620003;119.75;118.730003
2021-07-19;197.559998;20.989426;602.049988;36.93;95.959999;117.010002;115.32
2021-07-20;200.820007;21.080059;608.719971;37.689999;96.529999;120.900002;117.419998
2021-07-21;200.770004;21.072508;612.26001;38.459999;99.82;124.93;119.269997
2021-07-22;199.070007;21.155588;623.679993;37.959999;98.82;123.209999;122.629997
2021-07-23;200.490005;21.26133;625.869995;37.700001;98.860001;125.260002;125.970001
2021-07-26;201.669998;21.283989;620.799988;38.130001;100.949997;126.669998;126.059998
2021-07-27;200.470001;21.299093;618.280029;37.98;100.610001;128.5;126.029999
2021-07-28;198.279999;21.155588;620.919983;38.130001;101.18;129.529999;122.410004
2021-07-29;198.169998;21.367069;621.700012;38.68;102.57;134.5;122.379997
2021-07-30;197.940002;21.185801;621.630005;38.360001;101.809998;131.449997;121.43
2021-08-02;197.520004;21.231117;618.75;37.959999;101.629997;127.870003;120.370003
2021-08-03;201.029999;21.29154;621.280029;38.549999;102.599998;126.080002;119.129997
2021-08-04;197.529999;21.034742;625.679993;38.27;100.300003;124.389999;118.25
2021-08-05;197.800003;21.102718;632.080017;39.02;101.230003;126.400002;119.029999
2021-08-06;198.130005;21.117825;631.380005;40.150002;101.949997;126.660004;119.050003
2021-08-09;197.429993;21.034742;629.219971;40.669998;100.25;124.610001;117.940002
2021-08-10;199.25;21.216011;621.73999;41.43;102.080002;126.349998;116.389999
2021-08-11;201.570007;21.268883;626.030029;41.950001;102.849998;125.029999;116.5
2021-08-12;201.429993;21.163141;634.349976;42.150002;102.639999;123.43;115.75
2021-08-13;200.580002;21.29154;637.309998;41.630001;101.959999;122.209999;116.760002
2021-08-16;202.320007;21.299093;636.940002;41.290001;100.919998;121.489998;117.540001
2021-08-17;199.550003;21.29154;635.01001;41.09;100.730003;119.989998;116.57
2021-08-18;196.509995;21.019636;626.77002;40.790001;96.699997;119;115.68
2021-08-19;195.360001;20.793051;637.659973;40.189999;94.290001;119.230003;114.32
2021-08-20;194.160004;20.823263;647.340027;40.369999;94.300003;121.769997;114.629997
